City,Mode,MonthBeginning,DayType,RouteID,RouteName,AverageDailyRidership,Source
Philadelphia,Bus,2023-01-01,All,ALL,ALL,319605,APC
Philadelphia,CCT,2023-01-01,All,ALL,ALL,2834,Revenue
Philadelphia,Heavy Rail,2023-01-01,All,ALL,ALL,142909,Revenue
Philadelphia,Regional Rail,2023-01-01,All,ALL,ALL,62311,Revenue
Philadelphia,Trackless Trolley,2023-01-01,All,ALL,ALL,8931,Revenue_Estimate
Philadelphia,Trolley,2023-01-01,All,ALL,ALL,39738,Revenue_Estimate
Philadelphia,Bus,2023-02-01,All,ALL,ALL,342049,APC
Philadelphia,CCT,2023-02-01,All,ALL,ALL,2882,Revenue
Philadelphia,Heavy Rail,2023-02-01,All,ALL,ALL,144909,Revenue
Philadelphia,Regional Rail,2023-02-01,All,ALL,ALL,64720,Revenue
Philadelphia,Trackless Trolley,2023-02-01,All,ALL,ALL,8742,Revenue_Estimate
Philadelphia,Trolley,2023-02-01,All,ALL,ALL,44706,Revenue_Estimate
Philadelphia,Bus,2023-03-01,All,ALL,ALL,341407,APC
Philadelphia,CCT,2023-03-01,All,ALL,ALL,2982,Revenue
Philadelphia,Heavy Rail,2023-03-01,All,ALL,ALL,137699,Revenue
Philadelphia,Regional Rail,2023-03-01,All,ALL,ALL,66514,Revenue
Philadelphia,Trackless Trolley,2023-03-01,All,ALL,ALL,9594,Revenue_Estimate
Philadelphia,Trolley,2023-03-01,All,ALL,ALL,39744,Revenue_Estimate
Philadelphia,Bus,2023-04-01,All,ALL,ALL,336495,APC
Philadelphia,CCT,2023-04-01,All,ALL,ALL,2952,Revenue
Philadelphia,Heavy Rail,2023-04-01,All,ALL,ALL,138287,Revenue
Philadelphia,Regional Rail,2023-04-01,All,ALL,ALL,66900,Revenue
Philadelphia,Trackless Trolley,2023-04-01,All,ALL,ALL,9656,Revenue_Estimate
Philadelphia,Trolley,2023-04-01,All,ALL,ALL,38427,Revenue_Estimate
Philadelphia,Bus,2023-05-01,All,ALL,ALL,359462,APC
Philadelphia,CCT,2023-05-01,All,ALL,ALL,2985,Revenue
Philadelphia,Heavy Rail,2023-05-01,All,ALL,ALL,143856,Revenue
Philadelphia,Regional Rail,2023-05-01,All,ALL,ALL,65979,Revenue
Philadelphia,Trackless Trolley,2023-05-01,All,ALL,ALL,10310,Revenue_Estimate
Philadelphia,Trolley,2023-05-01,All,ALL,ALL,47563,APC
Philadelphia,Bus,2023-06-01,All,ALL,ALL,302745,APC
Philadelphia,CCT,2023-06-01,All,ALL,ALL,2981,Revenue
Philadelphia,Heavy Rail,2023-06-01,All,ALL,ALL,134429,Revenue
Philadelphia,Regional Rail,2023-06-01,All,ALL,ALL,66067,Revenue
