City,Mode,Date,RouteID,DayType,Ridership
Chicago,Bus,2001-01-01,81,Sunday/Holiday,5726
Chicago,Bus,2001-01-04,55N,Weekday,775
Chicago,Bus,2001-01-01,21,Sunday/Holiday,3454
Chicago,Bus,2001-01-04,95E,Weekday,5752
Chicago,Bus,2001-01-01,88,Sunday/Holiday,408
Chicago,Bus,2001-01-01,75,Sunday/Holiday,2484
Chicago,Bus,2001-01-04,49,Weekday,21114
Chicago,Bus,2001-01-01,10,Sunday/Holiday,385
Chicago,Bus,2001-01-02,36,Weekday,13977
Chicago,Bus,2001-01-04,63W,Weekday,2122
Chicago,Bus,2001-01-02,108,Weekday,2035
Chicago,Bus,2001-01-01,74,Sunday/Holiday,4099
Chicago,Bus,2001-01-03,85,Weekday,10954
Chicago,Bus,2001-01-01,97,Sunday/Holiday,945
Chicago,Bus,2001-01-03,121,Weekday,1365
Chicago,Bus,2001-01-03,47,Weekday,7823
Chicago,Bus,2001-01-01,112,Sunday/Holiday,713
Chicago,Bus,2001-01-03,136,Weekday,2011
Chicago,Bus,2001-01-03,39,Weekday,1925
Chicago,Bus,2001-01-01,X21,Sunday/Holiday,723
Chicago,Bus,2001-01-03,119,Weekday,3810
Chicago,Bus,2001-01-01,126,Sunday/Holiday,2689
Chicago,Bus,2001-01-03,68,Weekday,974
Chicago,Bus,2001-01-05,25,Weekday,232
Chicago,Bus,2001-01-04,151,Weekday,22725
Chicago,Bus,2001-01-03,20,Weekday,21184
Chicago,Bus,2001-01-03,97,Weekday,3357
Chicago,Bus,2001-01-02,71,Weekday,5932
Chicago,Bus,2001-01-04,173,Weekday,161
Chicago,Bus,2001-01-03,108,Weekday,2179
Chicago,Bus,2001-01-03,126,Weekday,7635
Chicago,Bus,2001-01-04,48,Weekday,753
Chicago,Bus,2001-01-03,52,Weekday,9684
Chicago,Bus,2001-01-04,103,Weekday,3144
Chicago,Bus,2001-01-02,63,Weekday,17764
Chicago,Bus,2001-01-03,48,Weekday,786
Chicago,Bus,2001-01-05,28,Weekday,10856
Chicago,Bus,2001-01-04,36,Weekday,15147
Chicago,Bus,2001-01-03,44,Weekday,5085
